CategoryID,TimeID,SampleID,RegionID,Bundle_No,T0,T2,T3,T4,T5,T7,Orientation_AP,Orientation_DV,imgX_pixel,imgX_um,imgY_pixel,imgY_um,is_Crowded,is_Edge,is_Heel_Issues,is_Irregular,is_Mirror_Symmetry,is_Weak_FasII,is_symFate,coord_X_R1,coord_Y_R1,coord_X_T0,coord_Y_T0,coord_X_R2,coord_Y_R2,coord_X_T2,coord_Y_T2,coord_X_R3,coord_Y_R3,coord_X_T3,coord_Y_T3,coord_X_R4,coord_Y_R4,coord_X_T4,coord_Y_T4,coord_X_R5,coord_Y_R5,coord_X_T5,coord_Y_T5,coord_X_R6,coord_Y_R6,coord_X_T7,coord_Y_T7,symmetry,aT7cT4,aT3cT4,aT3cT7,aT2cT4,aT5cT4,aT2cT5
Nic,24,2,1,1,18,20,64,19,59,61,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,-0.986506375,-1.223387336,-1.463565535,-0.703981722,0.477479611,-1.387750871,1.822240377,-3.754712542,2.270715503,-0.788168603,10.52427139,-3.652989672,1.871916757,0.432622808,6.755100921,-0.000627093,0.804130431,1.253283087,2.185388825,3.088385601,-1.134762642,1.188150273,11.52838315,2.664350043,0.31964696,0.227862921,0.334918649,0.562781571,1.118867995,0.955070536,2.073938532
Nic,24,2,1,2,35,34,41,39,40,47,P,R,1412,126.9,1210,108.75,0,0,0,0,0,0,0,-1.914249965,-0.182933713,-2.410302402,0.443930803,-0.372070644,-0.643059886,0.571749288,-2.945955123,1.072588092,-0.459168444,7.864721043,-3.366839283,1.295719737,0.448377362,5.004281591,-0.016304204,0.086484047,1.234588023,2.972890584,3.178851914,-1.414303253,1.44923928,9.116582558,3.154747991,0.162497899,0.347116261,0.414466137,0.761582398,1.375842012,0.822123863,2.197965874
Nic,24,2,1,3,39,41,44,46,47,48,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,-0.219733139,-1.097875293,-0.91559499,-0.073872646,0.909545044,-1.14993598,3.214403543,-3.004634993,2.025324385,-0.680140127,10.11918529,-3.398203283,2.013754056,0.445410416,7.112824908,-0.020697984,1.148962354,1.182940372,3.339304839,3.171747118,-0.308051074,1.034075274,12.47603406,2.759500597,0.313169229,0.227477478,0.331198729,0.558676207,0.748770941,0.762579432,1.511350373
Nic,24,2,1,4,36,37,42,38,41,44,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,-0.73848213,-0.782533803,-2.056790154,0.180667145,0.760713251,-0.855423998,-0.047122195,-3.338234598,1.827113713,-0.712053763,7.539361048,-2.938202678,1.718073727,0.584635159,4.856390932,-0.008271001,0.077362559,1.179039248,1.748272414,3.310776804,-1.810425992,1.179783936,9.174417483,3.12191901,0.109293363,0.336485224,0.377773343,0.714258567,1.583208177,1.086660508,2.669868685
Nic,24,2,1,5,45,50,53,52,51,54,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,-0.281342974,-1.987128685,-1.410882231,-0.518697961,1.06295088,-1.600193048,3.892340902,-3.762728385,1.97031409,-0.571033344,9.304583943,-2.696639949,1.617979622,0.952846235,4.756094198,0.00480205,-0.053492121,1.271588585,2.114290153,3.804010034,-1.619538273,0.377525013,8.959097339,5.276112288,0.466383745,0.538368599,0.287282235,0.825650834,0.76947785,1.062497094,1.831974944
Nic,24,2,1,6,23,55,57,56,22,20,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,0.140400354,-1.442985024,-0.082166096,-0.653284128,1.680038179,-1.895081904,2.074867824,-4.806752096,2.795836496,-1.16464734,10.54060611,-4.390846491,2.873070884,0.525770683,6.892175762,6.65E-07,1.573903731,1.243252502,4.208282609,3.781430804,0.260733157,0.576676514,12.8716659,2.355509085,0.541448233,0.180947831,0.394607205,0.575555037,1.16330084,0.732023639,1.895324479
Nic,24,2,1,7,21,18,19,59,58,62,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,-1.245536119,1.245113803,-0.985397678,0.327476916,0.671176043,1.259219736,2.203414989,2.121218449,1.644261762,0.080464535,9.972262281,0.488008338,1.437981892,-0.890754326,6.194771295,-1.724420058,0.310161113,-1.36374303,2.821859341,-3.801344398,-1.50918985,-0.391395539,11.15640775,-6.910809184,0.037656344,0.33470786,0.322103985,0.656811845,1.037887665,0.660727065,1.69861473
Nic,24,2,1,8,20,63,65,64,19,60,P,R,1412,126.9,1210,108.75,0,0,0,0,0,0,0,-0.75842893,1.955569537,-0.864437269,0.242138051,0.618295023,0.898310886,2.636579428,1.501062697,1.799007609,-0.377441519,9.749967188,-2.045595811,1.48199893,-1.091759482,5.651708115,-3.07354118,0.506121263,-1.094915637,0.945814142,-3.741764258,-0.744175123,-0.727005108,10.87366679,-8.010416596,0.406735943,0.205918665,0.347094456,0.553013121,1.015646757,0.825120093,1.840766851
Nic,24,2,1,9,22,56,63,20,18,19,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,-1.383306353,1.369116245,-1.381508573,0.698533883,0.450893517,0.434514592,1.605179783,1.603819867,1.65950547,-0.253261856,9.615799121,-1.467494487,1.567780363,-1.119796432,5.739383776,-2.421297175,0.107323991,-1.323003913,1.41739681,-3.700112655,-1.429224895,-0.508583432,9.453944194,-6.752535765,0.075065219,0.297187631,0.274879177,0.572066808,1.184194359,0.805750709,1.989945068
Nic,24,2,1,10,25,26,34,35,33,40,P,R,1412,126.9,1210,108.75,0,1,0,0,0,0,0,-1.599046192,1.188608937,-2.019771921,0.506861268,-0.088736402,0.761448617,1.90114551,1.521091873,1.307292551,-0.030429557,9.032154862,-0.210239452,1.337965377,-0.832540437,5.16954182,-2.018303139,-0.025900825,-1.489133488,1.646196206,-3.766783631,-1.657101809,-0.758733349,9.370567527,-5.830775983,0.351336215,0.236617151,0.364776262,0.601393413,1.047019573,0.786558366,1.833577939
