CategoryID,TimeID,SampleID,RegionID,Bundle_No,T0,T2,T3,T4,T5,T7,Orientation_AP,Orientation_DV,imgX_pixel,imgX_um,imgY_pixel,imgY_um,is_Crowded,is_Edge,is_Heel_Issues,is_Irregular,is_Mirror_Symmetry,is_Weak_FasII,is_symFate,coord_X_R1,coord_Y_R1,coord_X_T0,coord_Y_T0,coord_X_R2,coord_Y_R2,coord_X_T2,coord_Y_T2,coord_X_R3,coord_Y_R3,coord_X_T3,coord_Y_T3,coord_X_R4,coord_Y_R4,coord_X_T4,coord_Y_T4,coord_X_R5,coord_Y_R5,coord_X_T5,coord_Y_T5,coord_X_R6,coord_Y_R6,coord_X_T7,coord_Y_T7,symmetry,aT7cT4,aT3cT4,aT3cT7,aT2cT4,aT5cT4,aT2cT5
Fz,28,26,1,30,58,88,90,89,59,62,P,R,1635,164.88,573,57.78,0,0,0,1,0,0,0,-1.556148127,0.946182109,-1.183583449,-0.363125135,0.455729323,0.391282035,4.716313486,2.061888983,2.638236459,0.165295515,14.65693567,0.91831258,2.679731471,-0.799247246,8.071079593,-0.029697932,1.039166571,-1.271858108,5.151115172,-3.272849637,-0.937608002,-1.548804358,14.14776489,-4.2196624,0.768321253,0.297047335,0.068819554,0.365866889,0.41582332,0.562340139,0.978163458
Fz,28,26,1,34,4,101,47,43,35,46,P,L,1635,164.88,573,57.78,0,1,0,0,0,0,0,-0.267296788,1.02774693,-1.76190758,0.4034721,0.736449124,0.892276277,1.856331615,2.613549852,1.742257567,0.514587212,9.884718635,2.91951655,1.861822847,-0.409023882,6.107861364,0.059977642,0.441125341,-0.91906818,1.939518118,-2.654057389,-0.739463626,-0.71830161,10.93804325,-2.402978843,0.18777472,0.242437337,0.298485337,0.540922674,0.943390105,0.949532773,1.892922877
Fz,28,26,1,36,37,104,79,50,51,52,P,L,1635,164.88,573,57.78,0,1,0,0,0,0,0,-1.641586386,0.609298129,-3.273062174,0.002697793,-0.18889574,0.578139768,2.921667101,1.896044725,1.706380501,0.452570413,10.8040931,2.865488015,1.678814606,-0.397653897,6.306976272,0.013321348,0.314187296,-1.199055741,2.802673459,-2.835622248,-1.519949661,-1.129747273,11.20666044,-2.654475476,0.088063631,0.240621212,0.263857458,0.504478669,0.573531522,0.793354004,1.366885527
Fz,28,26,1,64,67,93,91,66,63,94,P,L,1635,164.88,573,57.78,0,0,0,0,0,0,0,-0.91108635,0.620345387,-2.267181638,0.109797592,0.230616424,0.894063856,1.529784132,3.017113287,1.648516601,0.516551922,10.40742204,3.261097799,1.416853807,-0.452544651,5.297395074,0.037039497,0.135294129,-0.857847633,1.848691046,-3.351808274,-0.973488594,-0.993581675,10.05832019,-3.212638437,0.057306324,0.333386764,0.314281594,0.647668358,1.09454411,1.07375551,2.168299619
Fz,28,26,1,65,66,91,90,92,94,62,P,L,1635,164.88,573,57.78,0,0,0,0,0,0,0,-0.641231112,0.728033644,-1.984451429,-0.162703824,0.720083414,0.823716622,3.131802198,3.054596131,1.94216305,0.526895732,11.23615429,3.048292849,1.953938766,-0.319197355,7.380941677,0.050449144,0.570239283,-1.399253132,2.77004518,-3.424424447,-0.938140543,-1.464855678,11.98575899,-1.958005353,0.346948367,0.1785003,0.273332599,0.451832899,0.766083892,0.89748203,1.663565922
Fz,28,26,1,103,63,66,92,94,95,40,P,L,1635,164.88,573,57.78,0,1,0,0,0,0,0,-0.649523176,1.02977774,-1.910492843,0.139038578,0.984894014,1.111787902,1.641837014,3.46832782,2.152426606,0.66810378,11.00802529,3.416842782,2.109404579,-0.359504466,6.298130896,0.029942177,0.670895875,-0.696342027,0.55733536,-3.693786405,-0.89705306,-0.764323779,12.02549332,-2.049497094,0.41430072,0.181345843,0.309622787,0.49096863,1.123916496,1.425795491,2.549711987
Fz,28,38,1,1,23,34,35,24,47,49,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,0.034436494,0.871766739,-1.372335274,0.265105062,1.578810177,1.135660481,4.505706735,2.241864619,2.863569683,0.754149062,13.34285978,3.513972524,2.794725628,-0.000102473,8.889571307,0.839181521,1.242981641,-0.363610907,3.442179448,-1.355323985,-0.408220008,-0.209459636,13.86521694,-0.000508388,0.433573097,0.136066316,0.240218667,0.376284983,0.367572878,0.469220013,0.836792892
Fz,28,38,1,2,34,48,39,35,24,30,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-0.899561935,1.145353709,-1.25888818,0.317441452,1.053839231,0.892992866,2.915861595,1.949733968,2.326237014,0.566290561,12.12841826,2.95249742,2.23842145,-0.269277344,7.588403796,0.362744426,0.774873457,-0.771821118,2.762051969,-2.013348824,-1.061918289,-0.647597225,11.48622396,-1.381768337,0.136412568,0.207511501,0.240290089,0.44780159,0.541618535,0.67764697,1.219265505
Fz,28,38,1,3,24,35,36,30,49,50,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-0.68908288,0.745064564,-1.750110978,0.135329252,1.004394471,0.916949387,3.22147619,2.32559382,2.679806,0.633836981,12.49308101,2.954906719,2.439327728,-0.305050888,6.975201641,0.228219072,0.601472856,-1.114267885,2.799436813,-2.046831811,-1.035769185,-1.027050286,11.29238301,-1.412172469,0.220006442,0.185206606,0.237446328,0.422652935,0.592568349,0.664040015,1.256608365
Fz,28,38,1,4,35,39,40,36,30,37,A,L,1255,108.14,927,79.88,0,0,0,0,0,0,0,-1.21887931,0.403536557,-1.387455338,-0.426592195,0.776564647,0.736432875,3.295190726,2.028943387,2.029264598,0.427227158,12.89922748,2.715713024,2.469865396,-0.392910143,7.881177138,0.271096292,0.625461492,-1.006953436,2.384839229,-2.4810302,-1.23254543,-1.179140872,11.78010627,-1.873998171,0.086986848,0.227189232,0.207426757,0.434615988,0.517520104,0.839548482,1.357068586
