CategoryID,TimeID,SampleID,RegionID,Bundle_No,T0,T2,T3,T4,T5,T7,Orientation_AP,Orientation_DV,imgX_pixel,imgX_um,imgY_pixel,imgY_um,is_Crowded,is_Edge,is_Equator,is_Heel_Issues,is_Irregular,is_Irregular_Grid,is_Mirror_Symmetry,is_Weak_FasII,is_symFate,coord_X_R1,coord_Y_R1,coord_X_T0,coord_Y_T0,coord_X_R2,coord_Y_R2,coord_X_T2,coord_Y_T2,coord_X_R3,coord_Y_R3,coord_X_T3,coord_Y_T3,coord_X_R4,coord_Y_R4,coord_X_T4,coord_Y_T4,coord_X_R5,coord_Y_R5,coord_X_T5,coord_Y_T5,coord_X_R6,coord_Y_R6,coord_X_T7,coord_Y_T7,symmetry,aT7cT4,aT3cT4,aT3cT7,aT2cT4,aT5cT4,aT2cT5
Ctrl,22,2,1,1,27,32,31,28,29,30,A,L,1681,154.23,562,51.56,0,1,0.0,0,0.0,0.0,0,0,0,-0.8908614825904015,0.6500656054408829,-1.9706341779480796,0.025195892023751637,0.647898947607682,1.213375140732044,2.2009702477077306,3.021784678561667,2.1999228334623484,0.4987789485161854,10.082213621042406,2.285896501517045,1.9061679948705184,-0.4884473515635338,5.308425027489438,-0.003365537651000783,0.48535014854499686,-0.9581374395326834,1.5881257371332795,-1.714622664955372,-1.1117630554266893,-0.9365496955505255,8.967099476359827,-2.2977806794685502,0.10658505705943078,0.2531038849128815,0.22612679289747842,0.4792306778103599,0.9419182646339406,0.8230459564624618,1.7649642210964025
Ctrl,22,2,1,2,46,47,45,48,49,50,A,L,1681,154.23,562,51.56,0,0,0.0,0,0.0,0.0,0,0,0,-1.3890736296462018,0.636455160826687,-1.926339868341507,-0.29062720337010395,-0.0021963531643667267,1.2156362728430445,1.2772768259951988,3.054718503447146,1.5458705043050942,0.5881627624556071,9.536911090649749,3.6285419488559723,2.1899832063194573,-0.525063416586528,6.657628394654106,0.0018399897593379677,1.0521205633558857,-1.7844510570645893,2.1140213596420736,-3.071705131247591,-0.5198859990334925,-1.9821579309830095,11.326875836634555,-2.7156957682931107,0.3513849906302821,0.23712524991104156,0.3655870531603401,0.6027123030713817,1.1744805622406302,0.9682938543313023,2.1427744165719327
Ctrl,22,2,1,3,60,59,47,46,79,49,A,L,1681,154.23,562,51.56,0,0,0.0,0,0.0,0.0,0,0,0,-0.8888753330604643,0.4335843072710046,-1.4389555357265646,-0.26288936111574457,0.4590770361270937,0.819537029276479,1.414533238927178,3.297429760321149,1.8872860567016483,0.689917001625226,9.625906687085283,3.5188500735730734,2.389793337912429,-0.5333205942825971,6.667873778581181,0.011810248506956667,0.9902673422913241,-1.4717053709809451,3.035382407014927,-2.555126517095624,-0.39672796896122975,-1.4109301471215492,10.895816638450608,-2.4315756984614083,0.36515512265692446,0.2263332759608639,0.3565174486531321,0.582850724613996,1.16378773819997,0.7014741922726407,1.8652619304726108
Ctrl,22,2,1,4,71,72,68,67,73,69,A,L,1681,154.23,562,51.56,0,0,0.0,0,0.0,0.0,0,0,0,-0.918349502553341,0.8957200063775591,-0.9757622043318817,0.11923346001296059,0.4693865695603353,1.0140679517643112,1.1529642043930495,2.5997080724517283,1.7890488523708563,0.4175713066894633,11.174361657625694,2.608141634931751,2.1609284084033415,-0.3571003530650305,6.4518231551410805,0.042550171528372704,1.1465115566797734,-1.0709415781517615,3.9963901246748645,-2.228999348458594,-0.4649529777409272,-0.811326233234108,12.309692581980565,-2.034216196174327,0.23633892179261867,0.17994869300984942,0.2356394716780134,0.41558816468786286,1.146768000649398,0.5153712295335342,1.6621392301829323
Ctrl,22,2,1,5,48,45,44,51,50,52,A,L,1681,154.23,562,51.56,0,0,0.0,0,0.0,0.0,0,0,0,-0.8112485959411749,1.7745437478949642,-1.4370950473087425,0.4245375139604921,1.073160497965989,1.4890153952560143,2.065330797669864,3.4478508397222214,2.238481428770011,0.7304467265647109,9.507353878689784,3.1023779914928116,1.8097625361962315,-0.5035836816419306,6.362257460462535,-0.0034812278475852,0.16837555811076466,-1.2009589072323796,2.648061265039308,-3.0905338045087563,-1.4550087959309448,-0.8517890690283811,10.173503892749569,-2.8308744617276593,0.14236835244385798,0.2736616530632174,0.31908996577146836,0.5927516188346857,1.0316450683076288,0.8618034188994705,1.8934484872070996
Ctrl,22,2,1,6,51,44,39,43,52,27,A,L,1681,154.23,562,51.56,0,0,0.0,0,0.0,0.0,0,0,0,-1.794404819164442,1.2854487916465973,-2.065213383675585,0.41048829643339974,-0.12129331562173025,0.9570552385615356,1.0741252815538551,3.5233044118344035,1.1166794058756078,0.44384977071347054,9.319321681013655,3.7041775549533886,1.601870653086106,-0.4498678898064473,6.304869112150455,-0.0032696014739095336,-0.1546791113113338,-0.9338054126265453,1.7512566170550836,-2.4109469496089684,-1.4231702527394932,-0.942806063511229,9.502086611047774,-2.668557317180839,0.27811007899132717,0.27600512064014826,0.3823368530405515,0.6583419736806997,1.2754026074422278,0.942067505013933,2.217470112456161
Ctrl,22,2,1,7,43,39,33,32,27,28,A,L,1681,154.23,562,51.56,0,0,0.0,0,0.0,0.0,0,0,0,-1.1937359063466517,0.8164665876955406,-1.5296871051876377,-0.25056111362930966,0.3918032188464553,1.1324374479571002,1.5442987742045209,3.3949698954977126,1.7704639483918438,0.49240222961368946,9.843113903306353,2.737571265843643,2.0438154360739844,-0.7005554454726381,5.822714413962909,-0.0046827870059032994,0.6440599579319469,-1.5854825477882224,1.624090985758019,-2.957477788747463,-0.9548622234482914,-1.6257837948334413,8.902641036191396,-3.051544453041404,0.17421729349690493,0.33376194314396235,0.27561484073715337,0.6093767838811157,1.144697088111991,1.0678037771320514,2.2125008652440425
Ctrl,22,2,1,8,32,33,34,31,28,80,A,L,1681,154.23,562,51.56,0,0,0.0,0,0.0,0.0,0,0,0,-0.9333666739351629,0.8507637933737844,-1.3176971156888744,-0.16137540469020367,0.9680613861912781,1.136421449094155,2.3311054459664726,3.0940338622358703,2.0492630594459826,0.568493153009262,10.345487849015138,2.869977565640473,2.055049848148383,-0.46345817400929545,6.5965223896400955,5.815167070377658e-07,1.0048214698290825,-1.3173338439832116,2.1174170082940473,-2.8470709796523757,-1.1064294420926024,-1.1001759741338206,10.344663380362968,-2.3329452593686,0.18032440763903018,0.22182980714593367,0.27063122192888717,0.4924610290748208,0.9251102394179707,0.9313281336980345,1.8564383731160052
Ctrl,22,2,1,9,39,38,35,33,32,31,A,L,1681,154.23,562,51.56,0,1,0.0,0,0.0,0.0,0,0,0,-1.0899764583814475,0.8044733542298057,-1.9169576106254784,-0.03291009506097292,0.6239935676736756,1.2738961369031,1.7866810125305213,2.684527967793421,1.9316152722212234,0.5648237325001805,9.37197498532684,2.740459742805603,1.9607974336318277,-0.6054920240505062,6.407976559108522,-0.0001259464850297265,0.2777601166638132,-1.4887277062113162,2.6331121497976,-3.1049169955294333,-1.0459972825573358,-1.2828153502883537,10.547514223781386,-3.2570604319028558,0.05006156347820128,0.2998339685504294,0.28482381130092105,0.5846577798513504,0.9835885510298187,0.8674181540503475,1.851006705080166
Ctrl,22,2,1,10,44,40,38,39,43,32,A,L,1681,154.23,562,51.56,0,1,0.0,0,0.0,0.0,0,0,0,-0.336550670924203,1.095283430052734,-1.4849647196664286,0.19297276246293338,0.9883943485148291,1.4226655876548904,2.17762010973285,3.185446486603637,2.640761279869277,0.5446144517623918,10.748249972165336,2.2166533228954513,2.594095583203852,-0.833295903600699,6.760052222383623,-0.010813496437235615,1.2665949381686838,-1.4768219545875911,3.575365076529214,-3.53154189355717,-0.15852355706892912,-1.0862030177782551,10.932126348317572,-3.511704103226328,0.3371140152412113,0.31578241928993567,0.2093277399805217,0.5251101592704573,0.9727512365499278,0.7776323449646649,1.7503835815145927
